kind,id,key,value
task,44,dev_queue_length,0.0
task,44,dev_time,1.61
task,44,dev_start,120.5
task,44,dev_end,122.11
task,44,test_queue_length,0.0
task,44,test_time,3.6
task,44,test_start,122.48
task,44,test_end,126.08
task,45,arrived,81.61
task,45,dev_queue_length,0.0
task,45,dev_time,1.32
task,45,dev_start,122.11
task,45,dev_end,123.43
task,45,test_queue_length,0.0
task,45,test_time,6.22
task,45,test_start,126.08
task,45,test_end,132.3
task,46,arrived,83.93
task,46,dev_queue_length,0.0
task,46,dev_time,4.62
task,46,dev_start,123.43
task,46,dev_end,128.05
task,46,test_queue_length,0.0
task,46,test_time,4.14
task,46,test_start,131.22
task,46,test_end,135.36
task,47,arrived,84.54
task,47,dev_queue_length,0.0
task,47,dev_time,7.63
task,47,dev_start,124.14
task,47,dev_end,131.78
task,47,test_queue_length,0.0
task,47,test_time,4.36
task,47,test_start,135.36
task,47,test_end,139.73
task,48,arrived,85.16
task,48,dev_queue_length,0.0
task,48,dev_time,1.26
task,48,dev_start,128.05
task,48,dev_end,129.31
task,48,test_queue_length,0.0
task,48,test_time,3.42
task,48,test_start,132.3
task,48,test_end,135.72
task,49,arrived,90.23
task,49,dev_queue_length,0.0
task,49,dev_time,7.09
task,49,dev_start,129.31
task,49,dev_end,136.4
task,49,test_queue_length,0.0
task,49,test_time,5.38
task,49,test_start,139.73
task,49,test_end,145.1
task,50,arrived,95.66
task,50,dev_queue_length,0.0
task,50,dev_time,1.28
task,50,dev_start,131.78
task,50,dev_end,133.05
task,50,test_queue_length,0.0
task,50,test_time,5.22
task,50,test_start,135.72
task,50,test_end,140.94
task,51,arrived,96.08
task,51,dev_queue_length,0.0
task,51,dev_time,4.57
task,51,dev_start,133.05
task,51,dev_end,137.63
task,51,test_queue_length,0.0
task,51,test_time,2.27
task,51,test_start,140.94
task,51,test_end,143.21
task,52,arrived,96.94
task,52,dev_queue_length,0.0
task,52,dev_time,9.11
task,52,dev_start,136.4
task,52,dev_end,145.51
task,52,test_queue_length,0.0
task,52,test_time,6.08
task,52,test_start,146.31
task,52,test_end,152.39
task,53,arrived,100.69
task,53,dev_queue_length,0.0
task,53,dev_time,1.68
task,53,dev_start,137.63
task,53,dev_end,139.3
task,53,test_queue_length,0.0
task,53,test_time,3.11
task,53,test_start,143.21
task,53,test_end,146.31
task,54,arrived,103.75
task,54,dev_queue_length,0.0
task,54,dev_time,1.36
task,54,dev_start,139.3
task,54,dev_end,140.67
task,54,test_queue_length,0.0
task,54,test_time,2.33
task,54,test_start,145.1
task,54,test_end,147.43
task,55,arrived,103.92
task,55,dev_queue_length,0.0
task,55,dev_time,8.36
task,55,dev_start,140.67
task,55,dev_end,149.03
task,55,test_queue_length,0.0
task,55,test_time,2.63
task,55,test_start,149.23
task,55,test_end,151.85
task,56,arrived,105.03
task,56,dev_queue_length,0.0
task,56,dev_time,1.12
task,56,dev_start,145.51
task,56,dev_end,146.64
task,56,test_queue_length,0.0
task,56,test_time,1.8
task,56,test_start,147.43
task,56,test_end,149.23
task,57,arrived,106.47
task,57,dev_queue_length,0.0
task,57,dev_time,8.12
task,57,dev_start,146.64
task,57,dev_end,154.76
task,57,test_queue_length,0.0
task,57,test_time,3.39
task,57,test_start,154.76
task,57,test_end,158.14
task,58,arrived,107.24
task,58,dev_queue_length,0.0
task,58,dev_time,1.37
task,58,dev_start,149.03
task,58,dev_end,150.39
task,58,test_queue_length,0.0
task,58,test_time,1.7
task,58,test_start,151.85
task,58,test_end,153.55
task,59,arrived,107.56
task,59,dev_queue_length,0.0
task,59,dev_time,2.86
task,59,dev_start,150.39
task,59,dev_end,153.25
task,59,test_queue_length,0.0
task,59,test_time,4.99
task,59,test_start,153.25
task,59,test_end,158.24
task,60,arrived,108.45
task,60,dev_queue_length,0.0
task,60,dev_time,9.8
task,60,dev_start,153.25
task,60,dev_end,163.05
task,60,test_queue_length,0.0
task,60,test_time,2.99
task,60,test_start,163.05
task,60,test_end,166.04
task,61,arrived,112.33
task,61,dev_queue_length,0.0
task,61,dev_time,1.83
task,61,dev_start,154.76
task,61,dev_end,156.58
task,61,test_queue_length,0.0
task,61,test_time,4.69
task,61,test_start,158.14
task,61,test_end,162.84
task,62,arrived,113.92
task,62,dev_queue_length,0.0
task,62,dev_time,6.92
task,62,dev_start,156.58
task,62,dev_end,163.5
task,62,test_queue_length,0.0
task,62,test_time,3.87
task,62,test_start,163.5
task,62,test_end,167.37
task,63,arrived,115.41
task,63,dev_queue_length,0.0
task,63,dev_time,8.0
task,63,dev_start,163.05
task,63,dev_end,171.05
task,63,test_queue_length,0.0
task,63,test_time,2.06
task,63,test_start,171.05
task,63,test_end,173.11
task,64,arrived,116.93
task,64,dev_queue_length,0.0
task,64,dev_time,6.29
task,64,dev_start,163.5
task,64,dev_end,169.79
task,64,test_queue_length,0.0
task,64,test_time,6.47
task,64,test_start,169.79
task,64,test_end,176.26
task,65,arrived,117.28
task,65,dev_queue_length,0.0
task,65,dev_time,4.73
task,65,dev_start,169.79
task,65,dev_end,174.52
task,65,test_queue_length,0.0
task,65,test_time,1.17
task,65,test_start,174.52
task,65,test_end,175.69
task,66,arrived,119.46
task,66,dev_queue_length,0.0
task,66,dev_time,8.81
task,66,dev_start,171.05
task,66,dev_end,179.86
task,66,test_queue_length,0.0
task,66,test_time,3.47
task,66,test_start,179.86
task,66,test_end,183.34
task,67,arrived,122.84
task,67,dev_queue_length,0.0
task,67,dev_time,6.92
task,67,dev_start,174.52
task,67,dev_end,181.45
task,67,test_queue_length,0.0
task,67,test_time,1.12
task,67,test_start,183.34
task,67,test_end,184.46
task,68,arrived,124.12
task,68,dev_queue_length,0.0
task,68,dev_time,1.41
task,68,dev_start,179.86
task,68,dev_end,181.27
task,68,test_queue_length,0.0
